iter	Passed	Remaining
1216	119537	76908
1217	119589	76780
1218	119681	76678
1219	119735	76552
1220	119816	76443
1221	119910	76342
1222	120011	76245
1223	120108	76147
1224	120197	76043
1225	120284	75938
1226	120375	75835
1227	120472	75736
1228	120535	75616
1229	120603	75499
1230	120680	75388
1231	120791	75298
1232	120843	75171
1233	120912	75056
1234	120969	74932
1235	121024	74808
1236	121092	74691
1237	121144	74565
1238	121207	74446
1239	121261	74321
1240	121325	74202
1241	121398	74090
1242	121473	73978
1243	121542	73863
1244	121627	73758
1245	121704	73648
1246	121786	73540
1247	121868	73433
1248	121960	73332
1249	122039	73223
1250	122106	73107
1251	122197	73006
1252	122290	72906
1253	122385	72806
1254	122486	72711
1255	122549	72593
1256	122620	72479
1257	122695	72368
1258	122816	72285
1259	122870	72162
1260	122940	72048
1261	123052	71959
1262	123101	71833
1263	123178	71724
1264	123230	71600
1265	123281	71475
1266	123369	71373
1267	123438	71259
1268	123493	71137
1269	123608	71050
1270	123702	70951
1271	123828	70870
1272	123935	70778
1273	124044	70688
1274	124161	70601
1275	124260	70505
1276	124338	70396
1277	124419	70290
1278	124495	70180
1279	124583	70078
1280	124669	69974
1281	124763	69875
1282	124854	69774
1283	124944	69672
1284	125034	69571
1285	125134	69475
1286	125225	69375
1287	125325	69279
1288	125413	69176
1289	125495	69071
1290	125574	68963
1291	125651	68855
1292	125743	68755
1293	125832	68653
1294	125927	68554
1295	126024	68457
1296	126125	68362
1297	126220	68264
1298	126307	68161
1299	126387	68054
1300	126473	67951
1301	126576	67857
1302	126672	67759
1303	126762	67658
1304	126857	67559
1305	126962	67467
1306	127042	67360
1307	127134	67260
1308	127207	67150
1309	127292	67047
1310	127376	66943
1311	127437	66827
1312	127501	66712
1313	127564	66597
1314	127616	66476
1315	127670	66357
1316	127725	66238
1317	127779	66119
1318	127834	66000
1319	127888	65882
1320	127979	65782
1321	128046	65669
1322	128118	65560
1323	128187	65449
1324	128256	65338
1325	128324	65226
1326	128394	65116
1327	128466	65007
1328	128531	64894
1329	128601	64784
1330	128689	64683
1331	128753	64570
1332	128823	64459
1333	128914	64360
1334	129044	64280
1335	129158	64192
1336	129275	64105
1337	129378	64012
